the famous house of the gladiators was in shambles,Optimal_4,That's true! Now be more specific. Why was the House of the Gladiators in ruins? What caused it to collapse?,False
the volcano erupted and the buildings were rebuilt poorly and could not be maintained action buildings caused further deterioration.,Optimal_2,"Revise your response. It's true that a volcano eruption destroyed the city, but try talking about what happened after that. What caused damage after the city was unearthed? Also, be careful with your sentence structure to ensure your ideas are clear and easy to understand.",False
forces such as age and tourism have deteriorated the city.,Label_2,That's true! Now be more specific. What do tourists do that damages Ancient Pompeii? And what are some of the natural forces that have caused damage?,False
the house of the gladiators was in ruins unfortunately,Optimal_4,That's true! Now be more specific. Why did the House of the Gladiators collapse? What other factors contributed to the deterioration of Ancient Pompeii?,False
they are harming the animals by getting too close.,Label_5,"You have the right idea! Now be more specific. Tourists should avoid getting too close to quokkas, but why? What can happen if a tourist gets too close?",True
the animals can be dangerous and some tourists feed them human food which can be harmful.,Label_4,"You have the right idea! Now be more specific. Human food can be harmful to quokkas. What can happen to quokkas if they eat human food? Also, how does this relate to the fact that many tourists enjoy taking quokka selfies?",True
it can be turned upside down by them biting or them eating human food like bread that can kill them.,Optimal_2,Try clearing your response and starting again. Your response is unclear and difficult to understand. Please try to rephrase it using information from the text to show a contrasting or surprising idea about the fact that many tourists enjoy taking quokka selfies.,False
tourists avoid getting too close to them quokkas because they can be dangerous.,Label_5,You have the right idea! Now be more specific. Tourists should avoid getting too close to quokkas because of what specific danger? What can happen if a tourist gets too close?,True
there have been negative impacts from the trend such as deaths caused by infection from bread.,Optimal_2,You have the right idea! Now be more specific. What trend are you referring to? How is this trend related to taking selfies with quokkas?,False
humans can negatively impact the quokkas and their habitat by introducing human food/,Label_4,"You have the right idea! Now be more specific. Human food can be harmful to quokkas. What can happen to quokkas if they eat human food? Also, how does this relate to the fact that many tourists enjoy taking quokka selfies?",True
infections and death are possible,Label_9,You have the right idea! Now be more specific. Infections and death can be caused by what? How can tourists cause quokkas to get infected or die?,True
Tourists need avoid too close to quokkas while taking selfies.,Label_5,You have the right idea! Now be more specific. Why should tourists avoid getting too close to quokkas while taking selfies? What risks are associated with taking selfies with quokkas?,True
getting too close can be very dangerous to the quakkas from infections or even death.,Label_9,You have the right idea! Now be more specific. What can cause quokkas to get infected or die? And how does this relate to the fact that many tourists enjoy taking quokka selfies?,True
they have to be cautious with the animal and their life style or else they will get bit.,Label_2,"You have the right idea! Now be more specific. Quokkas can sometimes bite tourists. How many people are bitten by quokkas each year? Also, what can cause quokkas to become dangerous to humans? Use information from the text to support your response.",True
