because they were in financial trouble and their budget could not accommodate these programs.	Fin_Trouble		
because it was in financial trouble and decided to cut back on some of it's sports programs.	Fin_Trouble		
because the school was going through financial trouble and needed to cut a bunch of programs including more then two male programs.	Fin_Trouble		
because they were having financial troubles and needed to make cutbacks.	Fin_Trouble		
because they were having budget problems and cut several sports programs	Fin_Trouble		
because they had financial issues and were looking for programs to cut back on.	Fin_Trouble		
because the school was in financial trouble and made cuts where it thought it could get away with.	Fin_Trouble		
because they had to make cuts somewhere to assist with financial struggles.	Fin_Trouble		
because it was in financial trouble and needed to manage its budget.	Fin_Trouble		
because it needed to allow its budget to stretch farther elsewhere.	Fin_Trouble		
because they were in financial trouble and needed to make cuts.	Fin_Trouble		
because the University was in financial trouble and reduced its sports programs.	Fin_Trouble		
because of financial trouble so the school reduced its sports programs.	Fin_Trouble		
because of budget issues that required them to make cutbacks.	Fin_Trouble		
because they were in financial trouble and it was part of overall sports cuts.	Fin_Trouble		
because of cuts.	Fin_Trouble		
because Eastern Michigan University was in financial trouble	Fin_Trouble		
because they are in financial trouble	Fin_Trouble		
because of a lack of funding.	Lack_of_funds		
because their budget would not allow enough to support these sports.	Lack_of_funds		
because they claimed they no longer had the funds to cover those departments.	Lack_of_funds		
because it claims it did not have enough money in the budget.	Lack_of_funds		
because they no longer had the budget to continue to support them.	Lack_of_funds		
because they did not have the funds to continue the program.	Lack_of_funds		
because they didn't have the funds to continue the programs and still meet their other obligations.	Lack_of_funds		
because they cost ore than they had in the budget.	Lack_of_funds		
because of decreased funds.	Lack_of_funds		
because the budget was so much less than what they realized would need to be spent.	Lack_of_funds		
because sports programs had to be reduced due to budget cuts.	Lack_of_funds		
because of reduced funding	Lack_of_funds		
because they were running short on funding and hoping to improve their financial obligations.	Lack_of_funds		
because it was running out of money, and had to cut several teams.	Lack_of_funds		
because they had funding cuts they were trying to meet.	Lack_of_funds		
because of budget restraints	Lack_of_funds		
because there was not enough money in the budget for the sports.	Lack_of_funds		
because of budget constraints.	Lack_of_funds		
because funding	Lack_of_funds		
because of financial constraints.	Lack_of_funds		
because of budget cuts.	Lack_of_funds		
because of a shortage of money.	Lack_of_funds		
because of budgetary cuts.	Lack_of_funds		
because it did not have enough money.	Lack_of_funds		
because there was not enough room in the budget for these teams.	Lack_of_funds		
because they did not have money.	Lack_of_funds		
because of budget restraints.	Lack_of_funds		
because of cuts in the budget.	Lack_of_funds		
because the school was in financial trouble so they had to cut some of the sports.	To_Save_Money		
because their budget could not afford to support those sport for women	To_Save_Money		
because they could not afford to continue these programs.	To_Save_Money		
because they were part of an overall cut to sports that aligned the school's budget.	To_Save_Money		
because they had to cut their budget.	To_Save_Money		
because they had to cut costs to avoid going over their spending budget.	To_Save_Money		
because they needed to cut the budget for the University.	To_Save_Money		
because it needed to reduce spending.	To_Save_Money		
because they needed to reduce spending not to go over budget.	To_Save_Money		
because they needed to lower there budget for the next year.	To_Save_Money		
because they needed to cut expenses to keep the school running.	To_Save_Money		
because it needed to reduce its budget.	To_Save_Money		
because they needed to cut their budget to save money	To_Save_Money		
because they needed to decrease the schools budget to make ends meet.	To_Save_Money		
because they needed to save money to balance their budget.	To_Save_Money		
because they needed to make budget cuts, and both men and womens sports were selected to have cuts to them.	To_Save_Money		
because they needed money to make their budget.	To_Save_Money		
because they thought it would be an effective way to meet their budgetary requirements.	To_Save_Money		
because they were trying to save money and stay within a good budget.	To_Save_Money		
because they were trying to reduce the budget.	To_Save_Money		
because they want to reduce budget	To_Save_Money		
because they wanted to cut cost on their budget	To_Save_Money		
because it wanted to save money.	To_Save_Money		
because they wanted to cut the budget to save money.	To_Save_Money		
because the school was in financial trouble and they had to cut back on spending.	To_Save_Money	Fin_Trouble	
because the school was in financial trouble and they had to find ways of reducing the budget.	To_Save_Money	Fin_Trouble	
because they were having financial problems and they were trying to save money by reducing its sports programs.	To_Save_Money	Fin_Trouble	
because they were in a financial crisis and needed to find ways to cut spending.	To_Save_Money	Fin_Trouble	
because the university was in financial trouble and needed to save money.	To_Save_Money	Fin_Trouble	
because they were in financial trouble & needed to make budget cuts.	To_Save_Money	Fin_Trouble	
because the university was in financial trouble and needed to reduce program expenditure.	To_Save_Money	Fin_Trouble	
because the school was in financial trouble and needed to cut over $4 million.	To_Save_Money	Fin_Trouble	
because they needed to cut costs due to a budgeting error.	To_Save_Money	Fin_Trouble	
because it was in financial trouble and needed to cut spending.	To_Save_Money	Fin_Trouble	
because they were in financial trouble and wanted to try to save money.	To_Save_Money	Fin_Trouble	
because of budget constraints, in an effort to reduce spend.	To_Save_Money	Lack_of_funds	
because of a smaller budget that required them to reduce spending in school programs.	To_Save_Money	Lack_of_funds	
because they wanted to save money and they thought that they won't come forward and fight for it.	To_Save_Money	Miscellaneous	
