it causes the earth temperature to change from global warming.	Feedback_1
the greenhouse gases that causes the Earth's temperature to rise.	Feedback_1
it causes Earth's temperature to rise in a process called global warming.	Feedback_1
gas causes Earth's temperature to rise in a process called global warming.	Feedback_1
it contributes to the world;s global warming issues.	Feedback_1
this causes the Earth's temperature to rise.	Feedback_1
it causes the Earth's temperature to rise.	Feedback_1
This gas causes Earth's temperature to rise in a process called global warming.	Feedback_1
the methane gas contained in their burps contributes to global warming.	Feedback_1
it causes Earth's temperature to rise.	Feedback_1
it contributes to global warming.	Feedback_1
 this gas causes Earth's temperature to rise in a process called global warming.	Feedback_1
 it causes earth temperature to rise in a process called global warming	Feedback_1
 it release methane gas which causes the Earth's temperature to rise.	Feedback_1
 this gas causes the earth's temperature to rise	Feedback_1
 it's causing the Earth's temperature to rise.	Feedback_1
 it causes the earth's temperature to rise what is also called global warming.	Feedback_1
 it cause the earth's temperatures to rise.	Feedback_1
 methane causes Earth's temperature to rise in a process called global warming.	Feedback_1
 the methane gas contributes to global warming.	Feedback_1
 methane contributes to rising temperatures that lead to global warming.	Feedback_1
 methane is a greenhouse gas, which causes Earth's temperature to rise in a process called Global Warming.	Feedback_1
every day, this gas causes Earth's temperature to rise in a process called global warming.	Feedback_1
this gas causes the Earth's temperature to rise.	Feedback_1
this gas causes to global warming.	Feedback_1
this gas causes global warming by raising the Earth’s temperature.	Feedback_1
This gas causes the Earth's temperature to rise in a process called global warming.	Feedback_1
This gas causes Earth's temperature to rise in a process called global warming	Feedback_1
this gas causes Earth's temperature to rise.	Feedback_1
this gas causes Earth's temperature to rise; resulting in global warming.	Feedback_1
this gas causes Earth's temperature to rise in the process we know as global warming.	Feedback_1
this gas causes Earth's temperature to rise	Feedback_1
this gas causes Earths temperature to rise	Feedback_1
this causes the Earth's temperature to rise in a process called global warming.	Feedback_1
this causes Earth's temperature to rise in a process called global warming.	Feedback_1
this causes global warming.	Feedback_1
this increases the Earth's temperature, causing global warming.	Feedback_1
the release of methane causes the Earth's temperature to rise in a process called global warming.	Feedback_1
the methane gas in the burps contributes to global warming.	Feedback_1
the methane causes the Earth's temperature to rise, which causes global warming.	Feedback_1
the methane causes global warming.	Feedback_1
the methane causes additional global warming.	Feedback_1
the methane contributes to global warming.	Feedback_1
the it causes the earth temperature to rise.	Feedback_1
the greenhouse methane contributes to increased global temperatures.	Feedback_1
the gas causes Earth's temperature to rise, contributing to global warming.	Feedback_1
the gas causes the Earth’s temperature to rise.	Feedback_1
the gas causes the earth's temperature to rise.	Feedback_1
the gas causes the Earth's temperature to rise as it accumulates in the atmosphere.	Feedback_1
the gas causes the Earth's temperature to rise, causing Global warming.	Feedback_1
the gas causes Earth's temperature to rise in a process called global warming.	Feedback_1
the gas causes the temperature of the environment to rise through the process of global warming.	Feedback_1
the gas causes Earth's temperature to rise in a process called global warming	Feedback_1
the gas causes earths temperatures to rise.	Feedback_1
the gas causes the Earth’s temperature to rise in a process called global warming.	Feedback_1
the gas causes the earths temperature to rise.	Feedback_1
the gas causes the Earth's temperature to rise causing global warming.	Feedback_1
the gas causes the Earth's temperature to rise (global warming).	Feedback_1
because the gas causes Earth's temperature to rise causing global warming.	Feedback_1
the gas increases global warming.	Feedback_1
