Schools should not allow junk food to be sold on campus but allow them to take it with them to school if they so wish	School without generating money
Schools should not allow junk food to be sold on campus but should allow sweets for special occasions	School without generating money
Schools should not allow junk food to be sold on campus but they should allow kids to bring their own snacks including junk food	School without generating money
Schools should not allow junk food to be sold on campus but here schools are, still selling this junk food that only promotes poor eating habits which could lead to a lot of health complications	School without generating money
Schools should not allow junk food to be sold on campus but there are plenty of other foods schools can sell for fundraising such as popcorn	School without generating money
Schools should not allow junk food to be sold on campus but should be allowed to sell snacks and soda	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but should be allowed to sell somewhat healthier alternatives	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but there should be alternatives they sell	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but there should be healthy snacks available	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but they should be allowed to provide healthy snacks and drinks for students to enjoy	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but they should be offering healthy snacks	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but I believe that some junk food is okay, it's just about moderation and balancing it out with more healthy foods	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but Bring healthy food	Schools providing healthy alternatives
Schools should not allow junk food to be sold on campus but instead they should bring some healthy snacks and foods	Schools providing healthy alternatives
